jobNumber,StartTime,EndTime,JobLength,ElapsedTime
635,1/1/2020 12:00:00 AM,1/1/2020 2:27:44 AM,8006,8864,1860
640,1/1/2020 12:00:00 AM,1/1/2020 2:27:45 AM,7563,8865,1885
289,1/1/2020 12:00:00 AM,1/1/2020 2:28:05 AM,8499,8885,702
94,1/1/2020 12:00:00 AM,1/1/2020 2:29:51 AM,8480,8991,219
233,1/1/2020 12:00:00 AM,1/1/2020 2:29:55 AM,8569,8995,552
691,1/1/2020 12:00:00 AM,1/1/2020 2:30:00 AM,8475,9000,2146
667,1/1/2020 12:00:00 AM,1/1/2020 2:30:39 AM,7939,9039,2017
343,1/1/2020 12:00:00 AM,1/1/2020 2:31:09 AM,8707,9069,851
502,1/1/2020 12:00:00 AM,1/1/2020 2:31:12 AM,8582,9072,1337
257,1/1/2020 12:00:00 AM,1/1/2020 2:31:23 AM,8376,9083,618
624,1/1/2020 12:00:00 AM,1/1/2020 2:32:14 AM,8756,9134,1810
432,1/1/2020 12:00:00 AM,1/1/2020 2:32:30 AM,8514,9150,1119
519,1/1/2020 12:00:00 AM,1/1/2020 2:32:57 AM,8595,9177,1406
82,1/1/2020 12:00:00 AM,1/1/2020 2:33:37 AM,8114,9217,191
475,1/1/2020 12:00:00 AM,1/1/2020 2:33:43 AM,8873,9223,1250
12,1/1/2020 12:00:00 AM,1/1/2020 2:34:18 AM,7084,9258,26
205,1/1/2020 12:00:00 AM,1/1/2020 2:35:02 AM,8532,9302,489
337,1/1/2020 12:00:00 AM,1/1/2020 2:35:19 AM,8457,9319,834
282,1/1/2020 12:00:00 AM,1/1/2020 2:35:49 AM,8593,9349,685
398,1/1/2020 12:00:00 AM,1/1/2020 2:36:14 AM,8142,9374,1005
752,1/1/2020 1:05:04 AM,1/1/2020 2:36:19 AM,3877,5475,335
493,1/1/2020 12:00:00 AM,1/1/2020 2:36:39 AM,8477,9399,1308
569,1/1/2020 12:00:00 AM,1/1/2020 2:36:41 AM,8920,9401,1604
545,1/1/2020 12:00:00 AM,1/1/2020 2:37:27 AM,8842,9447,1502
74,1/1/2020 12:00:00 AM,1/1/2020 2:37:46 AM,8714,9466,172
382,1/1/2020 12:00:00 AM,1/1/2020 2:37:47 AM,9052,9467,960
283,1/1/2020 12:00:00 AM,1/1/2020 2:38:24 AM,8597,9504,687
580,1/1/2020 12:00:00 AM,1/1/2020 2:38:43 AM,7743,9523,1645
276,1/1/2020 12:00:00 AM,1/1/2020 2:39:18 AM,8369,9558,666
62,1/1/2020 12:00:00 AM,1/1/2020 2:39:30 AM,8483,9570,145
172,1/1/2020 12:00:00 AM,1/1/2020 2:39:30 AM,8103,9570,404
166,1/1/2020 12:00:00 AM,1/1/2020 2:39:33 AM,8887,9573,392
193,1/1/2020 12:00:00 AM,1/1/2020 2:40:48 AM,8626,9648,453
586,1/1/2020 12:00:00 AM,1/1/2020 2:40:57 AM,7987,9657,1664
421,1/1/2020 12:00:00 AM,1/1/2020 2:41:01 AM,8838,9661,1086
49,1/1/2020 12:00:00 AM,1/1/2020 2:41:34 AM,9002,9694,116
129,1/1/2020 12:00:00 AM,1/1/2020 2:42:02 AM,9434,9722,296
323,1/1/2020 12:00:00 AM,1/1/2020 2:42:51 AM,9254,9771,791
558,1/1/2020 12:00:00 AM,1/1/2020 2:43:11 AM,8544,9791,1548
298,1/1/2020 12:00:00 AM,1/1/2020 2:44:11 AM,9676,9851,724
677,1/1/2020 12:00:00 AM,1/1/2020 2:44:52 AM,9282,9892,2071
588,1/1/2020 12:00:00 AM,1/1/2020 2:45:27 AM,8677,9927,1675
754,1/1/2020 1:05:32 AM,1/1/2020 2:45:48 AM,4425,6016,679
369,1/1/2020 12:00:00 AM,1/1/2020 2:46:35 AM,8990,9995,924
105,1/1/2020 12:00:00 AM,1/1/2020 2:46:52 AM,9698,10012,242
180,1/1/2020 12:00:00 AM,1/1/2020 2:47:14 AM,8535,10034,422
760,1/1/2020 1:07:00 AM,1/1/2020 2:47:29 AM,4436,6029,893
248,1/1/2020 12:00:00 AM,1/1/2020 2:47:48 AM,8946,10068,590
627,1/1/2020 12:00:00 AM,1/1/2020 2:48:25 AM,9951,10105,1822
471,1/1/2020 12:00:00 AM,1/1/2020 2:48:37 AM,9905,10117,1240
554,1/1/2020 12:00:00 AM,1/1/2020 2:48:56 AM,8666,10136,1535
461,1/1/2020 12:00:00 AM,1/1/2020 2:49:31 AM,9614,10171,1202
237,1/1/2020 12:00:00 AM,1/1/2020 2:49:57 AM,9078,10197,565
364,1/1/2020 12:00:00 AM,1/1/2020 2:50:00 AM,9777,10200,913
441,1/1/2020 12:00:00 AM,1/1/2020 2:50:07 AM,9908,10207,1146
397,1/1/2020 12:00:00 AM,1/1/2020 2:50:14 AM,9828,10214,1003
418,1/1/2020 12:00:00 AM,1/1/2020 2:51:10 AM,9436,10270,1070
177,1/1/2020 12:00:00 AM,1/1/2020 2:51:15 AM,9109,10275,415
149,1/1/2020 12:00:00 AM,1/1/2020 2:51:50 AM,9050,10310,351
396,1/1/2020 12:00:00 AM,1/1/2020 2:52:14 AM,9158,10334,1000
494,1/1/2020 12:00:00 AM,1/1/2020 2:52:20 AM,10020,10340,1310
644,1/1/2020 12:00:00 AM,1/1/2020 2:52:50 AM,8860,10370,1904
429,1/1/2020 12:00:00 AM,1/1/2020 2:53:43 AM,9177,10423,1110
84,1/1/2020 12:00:00 AM,1/1/2020 2:53:55 AM,8823,10435,196
639,1/1/2020 12:00:00 AM,1/1/2020 2:54:10 AM,9482,10450,1881
165,1/1/2020 12:00:00 AM,1/1/2020 2:54:30 AM,9981,10470,390
160,1/1/2020 12:00:00 AM,1/1/2020 2:54:44 AM,9701,10484,379
656,1/1/2020 12:00:00 AM,1/1/2020 2:54:56 AM,9794,10496,1963
672,1/1/2020 12:00:00 AM,1/1/2020 2:55:06 AM,9954,10506,2044
139,1/1/2020 12:00:00 AM,1/1/2020 2:56:10 AM,9917,10570,323
